"Feature","Gain","Cover","Frequency","pos","explicacion_final"
"iter_5_var_123",0.000483068226189042,0.000316108564533014,0.00104481077315997,389,"((((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))_x_((((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))"
"canarito68",0.000481805060096612,0.000309818359856285,0.00116090085906664,390,NA
"canarito142",0.000481615073069794,0.000422578012544868,0.00116090085906664,391,NA
"canarito154",0.000480704828468564,0.000280584375825912,0.00139308103087996,392,NA
"iter_5_var_791",0.000479751024616429,7.76994954740259e-05,0.000348270257719991,393,"((((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))_x_((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_(cproductos_tend6_/_ccomisiones_mantenimiento_tend6))"
"canarito86",0.000478325177862702,0.00035202803932636,0.00116090085906664,394,NA
"canarito184",0.000477986687567457,0.000675543921388528,0.00139308103087996,395,NA
"iter_5_var_4",0.000477817493417651,0.00342926147531835,0.0012769909449733,396,"((((mcaja_ahorro_+_mprestamos_personales)_+_(mtarjeta_visa_consumo_+_mpasivos_margen_lag1))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))_x_((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual))_+_(((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))))"
"iter_5_var_675",0.000477155937887531,0.000344741026258236,0.00116090085906664,397,"((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual))_+_(((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))))_+_((((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))"
"iter_5_var_342",0.000475234658024568,0.000211031210998798,0.000696540515439981,398,"((((mcaja_ahorro_+_mprestamos_personales)_x_(mpayroll_+_Visa_mpagominimo))_x_(cproductos))_+_(((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((mcuenta_debitos_automaticos)_+_(mpayroll_+_Visa_mpagominimo))))_/_((((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_+_((mtarjeta_visa_consumo_+_mpasivos_margen_lag1)_+_(mcuenta_debitos_automaticos)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))"
